subject,transition_threat,correct_rejections,false_alarms,hits,misses
a109tuq8wk2vjg,contains_threat,107,0,26,4
a109tuq8wk2vjg,no_threat,52,1,10,0
a11exib1mvbzfj,contains_threat,114,0,25,0
a11exib1mvbzfj,no_threat,46,0,15,0
a12abieib85r9u,contains_threat,90,17,5,20
a12abieib85r9u,no_threat,46,7,6,9
a12d8yonw8tywu,contains_threat,105,3,27,2
a12d8yonw8tywu,no_threat,48,5,10,0
a12t55b08jjyyv,contains_threat,126,0,28,0
a12t55b08jjyyv,no_threat,34,0,12,0
a14ycuva8hebx7,contains_threat,108,1,28,2
a14ycuva8hebx7,no_threat,48,3,10,0
a159ng9mhv7e7v,contains_threat,112,3,22,1
a159ng9mhv7e7v,no_threat,45,0,15,2
a15ps12r80cwtu,contains_threat,107,0,25,1
a15ps12r80cwtu,no_threat,50,3,14,0
a15sb9kagzmj4g,contains_threat,120,3,11,15
a15sb9kagzmj4g,no_threat,32,5,8,6
a1618ra11zod8y,contains_threat,109,2,22,4
a1618ra11zod8y,no_threat,47,2,9,5
a1649w6vs1xi17,contains_threat,90,8,17,8
a1649w6vs1xi17,no_threat,58,4,6,9
a170wnufjk56wd,contains_threat,100,3,21,3
a170wnufjk56wd,no_threat,57,0,14,2
a178bxd4ubx932,contains_threat,105,1,18,4
a178bxd4ubx932,no_threat,51,4,13,4
a1ad2bdqyttjil,contains_threat,106,2,21,5
a1ad2bdqyttjil,no_threat,49,3,14,0
a1b973pg17h746,contains_threat,110,1,21,11
a1b973pg17h746,no_threat,46,3,7,1
a1fhkk0ru69ru,contains_threat,95,5,22,2
a1fhkk0ru69ru,no_threat,51,10,15,0
a1fkghyvtl6vvc,contains_threat,103,4,20,1
a1fkghyvtl6vvc,no_threat,54,0,18,0
a1gd9jru44we8p,contains_threat,111,10,18,9
a1gd9jru44we8p,no_threat,33,6,7,6
a1gp2iovw7rzuo,contains_threat,96,15,24,4
a1gp2iovw7rzuo,no_threat,35,14,11,1
a1j9q00nu7qjn,contains_threat,108,0,32,0
a1j9q00nu7qjn,no_threat,52,1,7,0
a1m4r8ll48xgwe,contains_threat,98,7,26,0
a1m4r8ll48xgwe,no_threat,54,1,13,1
a1msg3v72sbkvu,contains_threat,100,1,21,3
a1msg3v72sbkvu,no_threat,55,4,15,1
a1qcfzj4pfm9wi,contains_threat,99,7,8,15
a1qcfzj4pfm9wi,no_threat,50,4,8,9
a1rukaqh2yaa60,contains_threat,116,2,22,4
a1rukaqh2yaa60,no_threat,42,0,12,2
a1sljknsnhojrn,contains_threat,119,2,27,4
a1sljknsnhojrn,no_threat,40,0,6,2
a1sn7eozuw5vp3,contains_threat,107,0,25,0
a1sn7eozuw5vp3,no_threat,52,2,13,1
a1tr2aokwgq78a,contains_threat,119,1,26,1
a1tr2aokwgq78a,no_threat,39,1,13,0
a1uh6a625gf5md,contains_threat,111,0,25,2
a1uh6a625gf5md,no_threat,48,1,12,1
a1vkzzxju11vn6,contains_threat,115,3,15,2
a1vkzzxju11vn6,no_threat,43,0,21,1
a1vxajieltyk0,contains_threat,113,3,19,3
a1vxajieltyk0,no_threat,44,0,17,1
a1wjakh6lpefad,contains_threat,109,4,23,1
a1wjakh6lpefad,no_threat,46,2,13,2
a1y3jl53xao7qv,contains_threat,118,7,17,11
a1y3jl53xao7qv,no_threat,33,2,4,8
a1ziotmx864njx,contains_threat,108,1,27,2
a1ziotmx864njx,no_threat,49,2,11,0
a20nnuvdl65rvv,contains_threat,110,3,28,1
a20nnuvdl65rvv,no_threat,43,4,11,0
a22llu5metq7cl,contains_threat,112,1,26,0
a22llu5metq7cl,no_threat,48,0,12,1
a24z9rp5yzz2ty,contains_threat,109,1,23,1
a24z9rp5yzz2ty,no_threat,50,1,15,0
a273wocs111dh0,contains_threat,98,5,18,7
a273wocs111dh0,no_threat,53,4,14,1
a2bjmvjxfmt6r3,contains_threat,108,0,27,0
a2bjmvjxfmt6r3,no_threat,52,1,12,0
a2ctbahecdqsix,contains_threat,97,15,16,8
a2ctbahecdqsix,no_threat,46,2,12,4
a2cv1wuwt6n0ik,contains_threat,101,0,25,1
a2cv1wuwt6n0ik,no_threat,59,0,13,1
a2e77jk6yte1mf,contains_threat,106,3,19,1
a2e77jk6yte1mf,no_threat,51,0,19,1
a2jrmx2o50m439,contains_threat,89,14,22,4
a2jrmx2o50m439,no_threat,51,6,12,2
a2kzn3uh5ngc9,contains_threat,106,1,20,2
a2kzn3uh5ngc9,no_threat,52,1,17,1
a2mbfiagbpu5ng,contains_threat,113,2,29,1
a2mbfiagbpu5ng,no_threat,45,0,10,0
a2ok9gzq92mvua,contains_threat,113,0,26,0
a2ok9gzq92mvua,no_threat,48,0,13,0
a2paxzmd7q7nkh,contains_threat,100,9,22,3
a2paxzmd7q7nkh,no_threat,50,1,13,2
a2pfyg0oumvitx,contains_threat,114,2,25,4
a2pfyg0oumvitx,no_threat,44,0,10,1
a2r28i9sm3g0yl,contains_threat,117,4,19,1
a2r28i9sm3g0yl,no_threat,38,1,20,0
a2sr6moqx7kzm5,contains_threat,113,1,27,1
a2sr6moqx7kzm5,no_threat,46,0,11,1
a2t0p6djfriyjv,contains_threat,105,6,22,6
a2t0p6djfriyjv,no_threat,48,2,10,1
a2tbkohgx08vrk,contains_threat,15,97,25,1
a2tbkohgx08vrk,no_threat,7,41,13,1
a2vo8c41jjiqy9,contains_threat,111,6,21,2
a2vo8c41jjiqy9,no_threat,42,2,16,0
a2vr9o234uct9t,contains_threat,98,1,25,1
a2vr9o234uct9t,no_threat,60,2,12,1
a2w8lridtr74l,contains_threat,121,1,28,1
a2w8lridtr74l,no_threat,38,0,11,0
a2y8lzs5c81o25,contains_threat,118,7,22,8
a2y8lzs5c81o25,no_threat,31,4,6,4
a2yvqkjx3fo6p,contains_threat,90,19,25,8
a2yvqkjx3fo6p,no_threat,42,9,5,2
a2z58pti5rfdkk,contains_threat,103,3,25,3
a2z58pti5rfdkk,no_threat,45,9,12,0
a300upnthsr0im,contains_threat,116,1,30,1
a300upnthsr0im,no_threat,43,1,7,1
a30dhhal100lzr,contains_threat,92,6,23,2
a30dhhal100lzr,no_threat,59,3,14,1
a30rzc1ay4scu,contains_threat,107,2,25,0
a30rzc1ay4scu,no_threat,50,1,15,0
a334ufaoo187w7,contains_threat,116,1,17,0
a334ufaoo187w7,no_threat,43,0,21,2
a36fx03tepqjzp,contains_threat,105,7,14,7
a36fx03tepqjzp,no_threat,47,1,16,3
a389ua2grcj6,contains_threat,109,2,24,3
a389ua2grcj6,no_threat,45,5,10,2
a3elh8dgvle6tl,contains_threat,96,3,24,5
a3elh8dgvle6tl,no_threat,56,6,8,2
a3eqr9c0l23o6e,contains_threat,104,0,23,1
a3eqr9c0l23o6e,no_threat,53,4,14,1
a3f293q71v7lxq,contains_threat,99,4,20,1
a3f293q71v7lxq,no_threat,56,1,18,1
a3ft026lqj29ip,contains_threat,105,5,19,6
a3ft026lqj29ip,no_threat,50,1,12,2
a3g8jhyiniop64,contains_threat,109,5,20,2
a3g8jhyiniop64,no_threat,44,2,13,5
a3hopybwsr1twr,contains_threat,114,7,24,2
a3hopybwsr1twr,no_threat,39,1,12,1
a3hqxcwoiqkt4f,contains_threat,115,10,23,2
a3hqxcwoiqkt4f,no_threat,34,1,11,4
a3keggehkzm0gy,contains_threat,110,0,23,3
a3keggehkzm0gy,no_threat,50,0,14,0
a3leldiql1ahii,contains_threat,101,2,24,1
a3leldiql1ahii,no_threat,58,0,14,0
a3ljsvb3hlepnw,contains_threat,107,0,21,1
a3ljsvb3hlepnw,no_threat,52,1,18,0
a3lxaru55pr281,contains_threat,106,9,24,1
a3lxaru55pr281,no_threat,45,0,14,1
a3my6t1kdlazvp,contains_threat,118,5,27,1
a3my6t1kdlazvp,no_threat,34,4,10,1
a3ntgjuqjig4n5,contains_threat,107,7,21,2
a3ntgjuqjig4n5,no_threat,46,0,16,1
a3o0qzq4v2ixt7,contains_threat,102,0,24,0
a3o0qzq4v2ixt7,no_threat,55,3,12,4
a3ov4lf262cki3,contains_threat,107,11,22,4
a3ov4lf262cki3,no_threat,42,1,11,2
a3pfngxng8gkzz,contains_threat,115,3,20,9
a3pfngxng8gkzz,no_threat,37,5,8,3
a3t6vdt9hqov3n,contains_threat,111,1,23,0
a3t6vdt9hqov3n,no_threat,49,0,15,1
a3uv55hc87do9c,contains_threat,101,3,16,9
a3uv55hc87do9c,no_threat,54,3,5,9
a3vdg4n48avygq,contains_threat,88,4,24,1
a3vdg4n48avygq,no_threat,66,2,12,3
a46s5o7bf1op1,contains_threat,111,0,18,1
a46s5o7bf1op1,no_threat,48,2,20,0
a7b9gor4ql3zv,contains_threat,105,0,27,0
a7b9gor4ql3zv,no_threat,54,1,12,1
a888zdvrcgqyb,contains_threat,121,3,16,4
a888zdvrcgqyb,no_threat,36,1,17,2
a9692y27lbxt9,contains_threat,107,5,21,3
a9692y27lbxt9,no_threat,48,0,15,1
a9w3mmlggwvt1,contains_threat,115,5,26,4
a9w3mmlggwvt1,no_threat,38,2,8,2
aa5zdxaa2dly1,contains_threat,106,0,26,0
aa5zdxaa2dly1,no_threat,52,2,12,2
aaislve5u7epm,contains_threat,109,12,21,4
aaislve5u7epm,no_threat,39,0,14,1
ac7cdw53i98jt,contains_threat,110,8,24,2
ac7cdw53i98jt,no_threat,37,5,14,0
acvwp0mrau69a,contains_threat,112,4,25,3
acvwp0mrau69a,no_threat,43,1,12,0
admumzbdceenr,contains_threat,112,3,23,2
admumzbdceenr,no_threat,45,0,13,2
aeju0mcyoqc77,contains_threat,116,4,25,1
aeju0mcyoqc77,no_threat,40,0,8,6
ajuvx0e4optao,contains_threat,105,0,22,2
ajuvx0e4optao,no_threat,49,6,14,2
aopa6r7jgglos,contains_threat,108,1,22,2
aopa6r7jgglos,no_threat,50,1,16,0
ap4b1gjit3hyf,contains_threat,95,2,28,3
ap4b1gjit3hyf,no_threat,57,6,9,0
apiur4wd44bq1,contains_threat,126,0,22,1
apiur4wd44bq1,no_threat,34,0,17,0
are6er0c6o2a1,contains_threat,108,4,24,2
are6er0c6o2a1,no_threat,46,2,11,3
atny69ui91lmq,contains_threat,98,14,23,2
atny69ui91lmq,no_threat,44,4,13,2
au566wrask7z0,contains_threat,96,15,19,9
au566wrask7z0,no_threat,44,5,8,4
avke1noi9tx8z,contains_threat,109,1,27,1
avke1noi9tx8z,no_threat,49,1,12,0
ax8nxtt8qmghc,contains_threat,100,4,22,2
ax8nxtt8qmghc,no_threat,55,1,16,0
axoe3wa9yt5mf,contains_threat,107,2,27,5
axoe3wa9yt5mf,no_threat,45,6,4,4
az8aol78l8c84,contains_threat,104,3,26,1
az8aol78l8c84,no_threat,49,4,12,1
azniefuivb2h0,contains_threat,100,4,18,4
azniefuivb2h0,no_threat,55,2,12,5
